앞면,뒷면,메모,학습제외,예문1,예문1_해석
一分たりとも無駄にできない,1분조차도 헛되이 할 수 없다.,"문형: [[~たりとも~ない]]
뜻: ~라도 ~하지 않는다
메모: 뒤의 부정 「ない」까지 포함해야 의미가 완성됨.
원본파일: N1-1-문형-03.csv
문형카드순번: 1",아니오,一分[[たりとも]]無駄にでき[[ない]],1분[[조차도]] 헛되이 [[할 수 없다]].
車にぶつかるところだった,차에 부딪힐 뻔했다.,"문형: [[~ところだった]]
뜻: (하마터면) ~할 뻔했다
메모: 「危うく~ところだった」 형태로 자주 쓰임. 실제로는 일어나지 않음.
원본파일: N1-1-문형-03.csv
문형카드순번: 2",아니오,車にぶつかる[[ところだった]],차에 부딪힐 [[뻔했다]].
悪いことは避けるきらいがある,나쁜 일은 피하려는 경향이 있다.,"문형: [[~きらいがある]]
뜻: ~경향이 있다
메모: 바람직하지 않은 성향·경향에 주로 사용.
원본파일: N1-1-문형-03.csv
문형카드순번: 3",아니오,悪いことは避ける[[きらいがある]],나쁜 일은 피하려는 [[경향이 있다]].
教師たる者、学生に真面目であるべきだ,교사인 사람은 학생에게 성실해야 한다.,"문형: [[~たる]]
뜻: ~로서 / ~인 사람은
메모: Nたる者 형태로 “~인 사람이라면 마땅히”라는 뉘앙스가 강함.
원본파일: N1-1-문형-03.csv
문형카드순번: 4",아니오,教師[[たる]]者、学生に真面目であるべきだ,교사인 사람은 학생에게 성실[[해야 한다]].
お休みのところを邪魔する,쉬고 계신 중에 방해하다.,"문형: [[~ところを]]
뜻: ~한 상황인데도
메모: 상대에게 폐를 끼칠 때의 인사·양해 표현으로 자주 쓰임.
원본파일: N1-1-문형-03.csv
문형카드순번: 5",아니오,お休みの[[ところを]]邪魔する,쉬고 계신 [[중에]] 방해하다.
危険きわまる行為だ,위험하기 짝이 없는 행위다.,"문형: [[~きわまる]]
뜻: ~극히~하다
메모: 「危険きわまる」처럼 명사·형용동사 어간 뒤. 「極まりない」와 같은 뜻.
원본파일: N1-1-문형-03.csv
문형카드순번: 6",아니오,危険[[きわまる]]行為だ,위험하[[기 짝이 없는]] 행위다.
国際会議に出席するついでに,국제회의에 참석하는 김에,"문형: [[~ついでに]]
뜻: ~하는 김에
메모: 주된 일을 하는 기회에 다른 일도 함.
원본파일: N1-1-문형-03.csv
문형카드순번: 7",아니오,国際会議に出席する[[ついでに]],국제회의에 참석[[하는 김에]]
全員が参加すると(に)したところで,전원이 참가한다고 해 봤자,"문형: [[~と(に)したところで]]
뜻: ~라고 해서, ~라 한들
메모: 가정·전제를 들어도 좋은 결과가 안 됨. 「~としたって」의 격식체.
원본파일: N1-1-문형-03.csv
문형카드순번: 8",아니오,全員が参加する[[と(に)したところで]],전원이 참가[[한다고 해 봤자]]
残念極まりない,유감스럽기 그지없다.,"문형: [[~極まりない]]
뜻: 매우 / 극히 ~하다
메모: 원래 한 셀에 있던 「極まりない / 極めて~」를 분리. 「極まりない」는 형용동사 어간 등에 붙는 강한 정도 표현.
원본파일: N1-1-문형-03.csv
문형카드순번: 9",아니오,残念[[極まりない]],유감스럽기 [[그지없다]].
極めて残念だ,극히 유감이다.,"문형: [[極めて~]]
뜻: 매우 / 극히 ~하다
메모: 「極めて」는 뒤의 형용사/형용동사를 꾸미는 부사. 「~極まりない」와 뜻은 비슷하지만 쓰임이 달라 분리.
원본파일: N1-1-문형-03.csv
문형카드순번: 10",아니오,[[極めて]]残念だ,[[극히]] 유감이다.
乗客は押しつ押されつしている,승객들은 밀고 밀리며 있다.,"문형: [[~つ~つ]]
뜻: ~했다 ~했다
메모: 동작이 반복·교차되는 「~つ~つ」 문형.
원본파일: N1-1-문형-03.csv
문형카드순번: 11",아니오,乗客は押し[[つ]]押され[[つ]]している,승객들은 밀[[고]] 밀리[[며]] 있다.
歌が得意と(に)したって,노래를 잘한다고 해도,"문형: [[~と(に)したって]]
뜻: ~라고 해도 / ~라 한들
메모: 「~としたところで」의 구어체.
원본파일: N1-1-문형-03.csv
문형카드순번: 12",아니오,歌が得意[[と(に)したって]],노래를 잘[[한다고 해도]]
失敗に耐えられるぐらいでないと,실패를 견딜 수 있을 정도가 아니면,"문형: [[~ぐらいでないと]]
뜻: ~할 정도가 아니면
메모: 그 정도 수준은 돼야 한다는 조건·자격을 나타냄.
원본파일: N1-1-문형-03.csv
문형카드순번: 13",아니오,失敗に耐えられる[[ぐらいでないと]],실패를 견딜 수 있을 [[정도가 아니면]]
正社員であれパートであれ,정사원이든 파트타이머든,"문형: [[~であれ~であれ]]
뜻: ~이든~이든
메모: 두 예시를 들어 “~이든 ~이든”을 나타내는 반복 문형.
원본파일: N1-1-문형-03.csv
문형카드순번: 14",아니오,正社員[[であれ]]パート[[であれ]],정사원[[이든]] 파트타이머[[든]]
冷静な彼とてやはり人間だから,냉정한 그라도 역시 사람이니까,"문형: [[~とて]]
뜻: ~도 역시, ~라도
메모: 「~といえども」와 비슷한 양보. [[문어체]].
원본파일: N1-1-문형-03.csv
문형카드순번: 15",아니오,冷静な彼[[とて]]やはり人間だから,냉정한 그[[라도]] 역시 사람이니까
50分も遅れていくくらいなら,50분이나 늦게 갈 바에는,"문형: [[~くらいなら]]
뜻: ~할 거라면
메모: 그런 선택을 하느니 차라리 다른 쪽이 낫다는 비교.
원본파일: N1-1-문형-03.csv
문형카드순번: 16",아니오,50分も遅れていく[[くらいなら]],50분이나 늦게 [[갈 바에는]]
彼が帰って来てから(というもの),그가 돌아온 뒤로 줄곧,"문형: [[~てからというもの]]
뜻: ~하고 나서 줄곧
메모: 어떤 일이 있은 뒤 계속 같은 상태가 이어짐을 나타냄.
원본파일: N1-1-문형-03.csv
문형카드순번: 17",아니오,彼が帰って来[[てから(というもの)]],그가 돌아온 [[뒤로 줄곧]]
出席できないとの返事,출석할 수 없다는 답변,"문형: [[~との]]
뜻: ~라는
메모: 인용 내용을 명사에 연결할 때. 「という」의 [[문어체]].
원본파일: N1-1-문형-03.csv
문형카드순번: 18",아니오,出席できない[[との]]返事,출석할 수 없다[[는]] 답변
村で花のごとき美人に出会った,마을에서 꽃 같은 미인을 만났다.,"문형: [[~ごとき]]
뜻: ~같은 / ~처럼 / ~듯이
메모: Nのごとき, V普通形がごとき. 관련형 ごとく은 부사적으로, ごとし는 [[문어체]] 서술·연체로 쓰임.
원본파일: N1-1-문형-03.csv
문형카드순번: 19
예문순번: 1/2",아니오,村で花の[[ごとき]]美人に出会った,마을에서 꽃 [[같은]] 미인을 만났다.
