앞면,뒷면,메모,학습제외,예문1,예문1_해석,예문2,예문2_해석
~たりとも~ない,~라도 ~하지 않는다,뒤의 부정 「ない」까지 포함해야 의미가 완성됨.,,一分[[たりとも]]無駄にでき[[ない]],1분[[조차도]] 헛되이 [[할 수 없다]].,,
~ところだった,(하마터면) ~할 뻔했다,「危うく~ところだった」 형태로 자주 쓰임. 실제로는 일어나지 않음.,,車にぶつかる[[ところだった]],차에 부딪힐 [[뻔했다]].,,
~きらいがある,~경향이 있다,바람직하지 않은 성향·경향에 주로 사용.,,悪いことは避ける[[きらいがある]],나쁜 일은 피하려는 [[경향이 있다]].,,
~たる,~로서 / ~인 사람은,Nたる者 형태로 “~인 사람이라면 마땅히”라는 뉘앙스가 강함.,,教師[[たる]]者、学生に真面目であるべきだ,교사인 사람은 학생에게 성실[[해야 한다]].,,
~ところを,~한 상황인데도,상대에게 폐를 끼칠 때의 인사·양해 표현으로 자주 쓰임.,,お休みの[[ところを]]邪魔する,쉬고 계신 [[중에]] 방해하다.,,
~きわまる,~극히~하다,「危険きわまる」처럼 명사·형용동사 어간 뒤. 「極まりない」와 같은 뜻.,,危険[[きわまる]]行為だ,위험하[[기 짝이 없는]] 행위다.,,
~ついでに,~하는 김에,주된 일을 하는 기회에 다른 일도 함.,,国際会議に出席する[[ついでに]],국제회의에 참석[[하는 김에]],,
~と(に)したところで,"~라고 해서, ~라 한들",가정·전제를 들어도 좋은 결과가 안 됨. 「~としたって」의 격식체.,,全員が参加する[[と(に)したところで]],전원이 참가[[한다고 해 봤자]],,
~極まりない,매우 / 극히 ~하다,원래 한 셀에 있던 「極まりない / 極めて~」를 분리. 「極まりない」는 형용동사 어간 등에 붙는 강한 정도 표현.,,残念[[極まりない]],유감스럽기 [[그지없다]].,,
極めて~,매우 / 극히 ~하다,「極めて」는 뒤의 형용사/형용동사를 꾸미는 부사. 「~極まりない」와 뜻은 비슷하지만 쓰임이 달라 분리.,,[[極めて]]残念だ,[[극히]] 유감이다.,,
~つ~つ,~했다 ~했다,동작이 반복·교차되는 「~つ~つ」 문형.,,乗客は押し[[つ]]押され[[つ]]している,승객들은 밀[[고]] 밀리[[며]] 있다.,,
~と(に)したって,~라고 해도 / ~라 한들,「~としたところで」의 구어체.,,歌が得意[[と(に)したって]],노래를 잘[[한다고 해도]],,
~ぐらいでないと,~할 정도가 아니면,그 정도 수준은 돼야 한다는 조건·자격을 나타냄.,,失敗に耐えられる[[ぐらいでないと]],실패를 견딜 수 있을 [[정도가 아니면]],,
~であれ~であれ,~이든~이든,두 예시를 들어 “~이든 ~이든”을 나타내는 반복 문형.,,正社員[[であれ]]パート[[であれ]],정사원[[이든]] 파트타이머[[든]],,
~とて,"~도 역시, ~라도",「~といえども」와 비슷한 양보. [[문어체]].,,冷静な彼[[とて]]やはり人間だから,냉정한 그[[라도]] 역시 사람이니까,,
~くらいなら,~할 거라면,그런 선택을 하느니 차라리 다른 쪽이 낫다는 비교.,,50分も遅れていく[[くらいなら]],50분이나 늦게 [[갈 바에는]],,
~てからというもの,~하고 나서 줄곧,어떤 일이 있은 뒤 계속 같은 상태가 이어짐을 나타냄.,,彼が帰って来[[てから(というもの)]],그가 돌아온 [[뒤로 줄곧]],,
~との,~라는,인용 내용을 명사에 연결할 때. 「という」의 [[문어체]].,,出席できない[[との]]返事,출석할 수 없다[[는]] 답변,,
~ごとき,~같은 / ~처럼 / ~듯이,"Nのごとき, V普通形がごとき. 관련형 ごとく은 부사적으로, ごとし는 [[문어체]] 서술·연체로 쓰임.",,村で花の[[ごとき]]美人に出会った,마을에서 꽃 [[같은]] 미인을 만났다.,少年は飛ぶが[[ごとき]]勢いで,소년은 나는 [[듯한]] 기세로
