앞면,뒷면,메모,학습제외,예문1,예문1_해석
~ないとも限らない,(어쩌면)~할지도 모른다,그럴 가능성이 없다고 단정할 수 없다는 이중부정.,,事故を起こさ[[ないとも限らない]],사고를 일으키지 [[않는다고는 할 수 없다]].
~にたえない,~하기에 견딜 수 없다 / 차마 ~할 수 없다,見るにたえない=차마 볼 수 없다. 感謝にたえない처럼 감정 명사에 붙으면 “매우 ~하다” 의미도 있음.,,見る[[にたえない]]ほどひどい番組,차마 볼 수 [[없을 정도로]] 심한 방송
~めく,"~답다, ~같다",그러한 느낌·기색을 띰. 「春めく」「謎めく」 등.,,日ごとに春[[めいて]]まいりました,날마다 봄[[다워져]] 왔습니다.
~ないまでも,~하지는 못해도,높은 수준은 아니어도 최소한 이 정도는 하라는 뉘앙스.,,出席でき[[ないまでも]]電話でもしろ,출석하지는 [[못해도]] 전화라도 해라.
~にたえる,~할 만하다 / ~할 가치가 있다,「にたえない」의 반대. 감상·비판할 가치가 있음.,,市販する[[にたえる]]作品,시판[[할 만한]] 작품
~ずもがな,말하지 않는 편이 나은 / 말할 필요도 없는,「言わずもがな」가 대표 형태. 안 하느니만 못함.,,[[言わずもがな]]のことを言ってしまった,[[말하지 않는 편이 나은]] 것을 말해 버렸다.
~ないものでもない,~못할 것도 없다,완전히 부정하지는 않는 소극적 긍정.,,出来[[ないものでもない]]だろう,못 할 것도 [[없겠지]].
~に足る,~하기에 충분한,그렇게 할 만한 가치·자격이 있음. 「に足りる」와 같음.,,信頼する[[に足る]]人物だ,신뢰[[하기에 충분한]] 인물이다.
~もさることながら,~도 물론이지만,앞의 것도 당연하지만 뒤가 더 그렇다는 강조.,,若いころの作品[[もさることながら]],젊은 시절의 작품[[도 물론이지만]]
~ながらに,"~의 상태인 채, ~서부터",그 상태를 유지한 채. 「涙ながらに」「生まれながらに」 등.,,経験を涙[[ながらに]]語った,경험을 눈물 [[어린 채로]] 이야기했다.
~にとどまらず,~로 그치지 않고,그 범위에 머무르지 않고 더 넓게 미침.,,単なる趣味[[にとどまらず]],단순한 취미에 [[그치지 않고]]
~も同然だ,~한 것이나 다름없다,실제로는 아니지만 거의 그와 같은 상태임.,,これでもう勝った[[も同然だ]],이걸로 이제 이긴 것이나 [[다름없다]].
~ながらも,~이면서도,앞뒤가 서로 모순되는 역접. 「狭いながらも」 등.,,狭い[[ながらも]]楽しい我が家,좁[[지만]] 즐거운 우리 집
~に(は)当たらない,~할 정도는 아니다,그렇게까지 할 만한 일은 아니라는 평가.,,非難する[[に(は)当たらない]],비난[[할 정도는 아니다]].
~ようものなら,만약 ~하기라도 하면 / ~했다가는,"意向形+ものなら. 일반 ものなら(가능하다면)보다, 나쁜 결과가 이어지는 '~하기라도 하면'의 느낌으로 구분.",,掃除をさぼ[[ろうものなら]],청소를 [[빼먹기라도 하면]]
~なくして(は),~없이(는),그것이 없으면 성립하지 않는다는 조건. [[문어체]].,,事実の究明[[なくして(は)]],사실 규명 [[없이는]]
~に引き換え,~에 비하면,앞뒤를 대조해 차이를 강조. 주로 대비·비교.,,米不足だった去年[[に引き換え]],쌀 부족이었던 작년[[에 비해]]
~ものを,"~했는데, ~했을 텐데",그렇게 했으면 좋았을 텐데 하는 [[아쉬움]]·원망.,,知っていれば教えてあげた[[ものを]],알고 있었으면 알려 줬을 [[텐데]].
~なくもない,~하지 않는 것도 아니다 / ~할 수도 있다,전면 부정은 아닌 소극적 긍정. 「ないものでもない」와 유사.,,聞か[[なくもない]]のだ,들을 [[수도 있다]].
