앞면,뒷면,메모,학습제외,예문1,예문1_해석,예문2,예문2_해석,예문3,예문3_해석
~一方だ,계속 ~해지다,한 방향으로 변화가 계속됨. 「増える一方だ」 등.,,毎年客が増える[[一方だ]],매년 손님이 [[계속 늘기만 한다]].,,,,
~てからは,~하고 부터는,어떤 일을 계기로 그 후 상태가 바뀜.,,禁煙し[[てからは]],금연[[하고 나서는]],,,,
~について,~에 대해,어떤 대상을 화제·주제로 삼음. 「に関して」와 유사.,,この町の歴史[[について]]調べています,이 마을의 역사[[에 대해]] 조사하고 있습니다.,,,,
~上(に),~한데다,"영어 참고표기는 上に. 실제 문장에서는 上 / 上に 모두 보이며, 앞 사실에 더해 다른 사실을 덧붙이는 용법.",,昨夜は道に迷った[[上]],어젯밤은 길을 잃은 [[데다가]],,,,
~て仕方がない,~해서 견딜수가 없다,감정·감각이 너무 강해 억누를 수 없음. 「てたまらない」와 유사.,,寒気がし[[て仕方がない]],한기가 들어 [[견딜 수가 없다]].,,,,
~につれて,~함에 따라,한쪽이 변하면 다른 쪽도 함께 변함. 「にしたがって」와 유사.,,日本語が上手になる[[につれて]],일본어가 [[능숙해짐에 따라]],,,,
~うちに,"~하는 동안에, ~일 때",그 상태가 지속되는 동안. 변화 전에 어떤 일을 함.,,練習を重ねる[[うちに]],연습을 거듭하는 [[사이에]],,,,
~てしょうがない,~해서 미치겠다,「て仕方がない」의 구어체. 감정·감각이 매우 강함.,,目が疲れ[[てしょうがない]],눈이 피곤해서 [[못 견디겠다]].,,,,
~にとって,~에게 있어,그 입장에서 보면 어떠한가를 나타냄.,,石油は現代の工業[[にとって]],석유는 현대 공업[[에 있어서]],,,,
~おかげで,"덕분에, 덕택에",좋은 결과의 원인·은혜. 반대는 「せいで」.,,発売された新薬の[[おかげで]],출시된 신약 [[덕분에]],,,,
~てたまらない,~해서 죽겠다,감정·욕구·감각이 참을 수 없을 만큼 강함.,,眠く[[てたまらない]],졸려서 [[견딜 수가 없다]].,,,,
~に反して,~과는 반대로,예상·기대와 어긋난 결과. 「に反する」도 있음.,,多くの人の予想[[に反して]],많은 사람의 예상[[과는 달리]],,,,
~おそれがある / ~恐れがある,~할 우려가 있다,좋지 않은 일이 일어날 가능성. 恐れがある처럼 한자 표기도 자주 보임.,,副作用の[[恐れがある]],부작용이 생길 [[우려가 있다]].,,,,
~て初めて,~하고 나서 비로소,그 경험을 하고 나서야 비로소 알게·되게 됨.,,準備があっ[[て初めて]],준비가 있고 [[나서야 비로소]],,,,
~によって,"1) ~에 의해 / ~때문에
2) ~을 통해 / ~에 의해
3) ~에 따라",같은 표면형의 원인·수단·기준 용법을 한 카드로 묶음. 예문 순서대로 뜻을 구분.,,一昨年からの不景気[[によって]],재작년부터 이어진 불경기[[로 인해]],アンケート調査[[によって]],설문 조사[[를 통해]],その日の天候[[によって]],그날의 날씨[[에 따라]]
~かける,~하다가 (말다),동작을 시작했지만 도중에 멈춘 상태. 「~かけの」도 있음.,,夕食を作り[[かけて]],저녁을 [[만들다가]],,,,
~ないでほしい,~하지 말아 줬으면 좋겠다,상대에게 어떤 행동을 하지 말기를 바람.,,彼には言わ[[ないでほしい]]のです,그에게는 말[[하지 말아 줬으면]] 합니다.,,,,
~がち,~하기 쉽다 / 자주 ~하다,좋지 않은 경향이나 자주 그런 상태가 됨을 나타내는 경우가 많음.,,留守[[がち]]だから,집을 비우는 일이 [[잦으니까]],,,,
