앞면,뒷면,메모,학습제외,예문1,예문1_해석
~としても,~라고 해도,어떤 일을 가정해 인정해도 결과는 같다는 양보.,,大金持ちだ[[としても]],큰 부자[[라고 해도]]
~ほど~はない,~만큼 ~은 없다,그것이 가장 ~하다는 최상급 표현.,,今年の夏[[ほど]]暑い夏[[はない]]ね,올여름[[만큼]] 더운 여름[[은 없네]].
~最中だ / ~最中に,~하는 도중,"「最中だ」는 문장 끝, 「最中に」는 뒤에 사건이 이어지는 형태.",,今検討している[[最中]]です,지금 검토하고 [[있는 중입니다]].
~と[すると(すれば/したら)],~라고 한다면,すると/すれば/したら는 조건 표현 변형. [[같은 의미]]라 한 카드로 유지.,,彼がやった[[とすると]],그가 [[했다고 한다면]]
~向き / ~向きの,~에게 적합한 / ~용,向き는 대상에게 알맞다는 뜻. 명사 수식에는 「~向きの」도 가능. 「向け」(전용)와 구분.,,子供[[向きの]]かわいいデザインのものだ,어린이[[용]]의 귀여운 디자인인 것이다.
~さえ,~조차,극단적인 예를 들어 다른 것은 말할 것도 없음을 강조.,,夏で[[さえ]]雪が残っている,여름[[에도]] 눈이 남아 있다.
~とともに,~와 함께 / ~와 동시에 / ~함에 따라,동시·수반·변화의 세 가지 뉘앙스가 있음.,,1杯の水[[とともに]]飲んだ,물 한 컵과 [[함께]] 먹었다.
~向けに,~용으로,특정 대상을 겨냥해 만듦. 「向き」(적합)와 달리 의도적 대상 설정.,,幼児[[向けに]]書かれた本です,유아[[용으로]] 쓰인 책입니다.
~さえすれば,~하기만 하면,그 조건만 충족하면 충분하다는 한정.,,薬を飲み[[さえすれば]],약을 먹[[기만 하면]]
~とはかぎらない,~라고는 할 수 없다,반드시 그렇다고 단정할 수 없다는 부분 부정.,,いつも当たる[[とはかぎらない]],언제나 [[맞는다고는 할 수 없다]].
~も~ば~も,~도 ~하고 ~도,기본 패턴은 「~も~ば~も」. 예문에서는 よい→よければ처럼 활용됨.,,性格[[も]]よ[[ければ]]頭[[も]]よさそうです,성격[[도]] 좋[[고]] 머리[[도]] 좋아 보입니다.
~しかない,~할 수 밖에 없다,그 외에 다른 방법이 없음. 「ほかない」와 유사.,,最後までやる[[しかない]],끝까지 할 [[수밖에 없다]].
~とみえて,~인 듯해서 / ~인 것 같아서,어떤 근거로 그렇게 추측됨.,,雨が降った[[とみえて]],비가 [[온 것 같아서]]
~ようがない / ~ようもない,~하려 해도 할 수 없다,「ようがない」와 「ようもない」는 거의 [[같은 의미]]. 동사의 ます형 + よう에 붙음.,,連絡のし[[ようがありません]],연락할 [[방법이 없습니다]].
~せいで,~탓에,나쁜 결과의 원인·책임. 반대는 「おかげで」.,,急に休んだ[[せいで]],갑자기 쉰 [[탓에]]
~ないわけにはいかない,~하지 않을 수 없다,사정·도리상 하지 않을 수 없음. 「わけにはいかない」 계열.,,出席し[[ないわけにはいかない]],출석[[하지 않을 수 없다]].
~ようだ,~인 것 같다,근거에 따른 추측·비유. 「みたいだ」의 격식체.,,もう時間の[[ようです]]ので,이제 시간이 된 [[것 같으므로]]
~ただ~だけでなく,단지 ~뿐만 아니고,「ただ~だけでなく」 전체가 “단지 ~뿐만 아니라”라는 한 문형.,,[[ただ]]肉や魚[[だけでなく]],[[단지]] 고기나 생선[[뿐만 아니라]]
