앞면,뒷면,메모,학습제외,예문1,예문1_해석,예문2,예문2_해석
~に決まっている,~인 것이 당연하다,틀림없이 그러하다는 강한 확신. 「に違いない」와 유사.,,目に悪い[[に決まっている]],눈에 나쁜 것이 [[틀림없다]].,,
~をきっかけに,~을 계기로 (해서),어떤 일을 계기로 변화·시작이 일어남. 「を契機に」와 유사.,,春のハイキング[[をきっかけに]],봄 하이킹을 [[계기로]],,
~ついでに,~하는 김에,주된 일을 하는 기회에 다른 일도 함.,,会議に出席する[[ついでに]],회의에 참석[[하는 김에]],,
~に比べて,~에 비해서,두 대상을 비교해 차이를 나타냄.,,おとなしい兄[[に比べて]],얌전한 형[[에 비해]],,
~を込めて,~을 담아서,마음·정성을 담아 어떤 행동을 함.,,私たちの感謝[[を込めて]],우리의 감사[[를 담아]],,
~っけ,~였나?,잊었거나 확실치 않은 것을 떠올리며 확인. 구어체.,,試験は五番教室だ[[っけ]],시험은 5번 교실[[이었지]]?,,
~に従って,~함에 따라,한쪽이 변하면 다른 쪽도 함께 변함. 「につれて」와 유사.,,警察の調べが進む[[に従って]],경찰 조사가 [[진행됨에 따라]],,
~を中心に(して),~을 중심으로,어떤 것을 핵심·기준으로 삼아.,,委員長の秋山君[[を中心にして]],위원장인 아키야마 군을 [[중심으로 해서]],,
~って,"1) ~래 / ~라고 하다
2) ~라는 / ~라는 것은",구어체. 전달/전문 용법과 인용·화제 제시 용법을 예문으로 구분.,,来週の授業は休み[[だって]],다음 주 수업은 [[쉰대]].,WWYD[[って]]何ですか,WWYD[[라는 게]] 뭐예요?
~にしても~にしても,~든 ~든,두 대상을 병렬로 드는 반복 문형.,,東京[[にしても]]横浜[[にしても]],도쿄[[든]] 요코하마[[든]],,
~を通じて,"1) ~동안 내내 / ~에 걸쳐
2) ~을 통해서",기간 전체와 매개·수단 용법을 예문으로 구분.,,人類の歴史[[を通じて]],인류의 역사를 [[통틀어]],共通の友人[[を通じて]]知り合った,공통의 친구[[를 통해]] 알게 되었다.
~に対して,"1) ~에 대해서 / ~을 상대로
2) ~에 비해 / ~와 대조적으로",대상 용법과 대비 용법을 예문으로 구분.,,今のランさんの発言[[に対して]],방금 란 씨의 발언[[에 대해서]],男性が７８歳であるの[[に対して]],남성이 78세인 [[데 비해]]
~つもり,~하다고 생각하고,실제는 아니지만 그렇게 여기고 행동함. 「~たつもり」 형태.,,食べた[[つもり]]になって,먹은 [[셈 치고]],,
~を~として,~을 ~로 해서,중간 명사는 예문마다 달라지는 자리라 분리하지 않음.,,卒業[[を]]１つの区切り[[として]],졸업을 하나의 구분점으[[로 삼아]],,
~てからでないと,~하지 않으면,그 일을 먼저 끝내지 않으면 다음이 안 됨. 「てからでなければ」와 같음.,,よく洗っ[[てからでないと]],잘 씻고 [[나서가 아니면]],,
~に違いない,~임에 틀림없다,근거에 비추어 확실히 그러할 것이라는 강한 추측. 「に決まっている」와 유사.,,旅行にでも行っている[[に違いない]],여행이라도 가 있는 것이 [[틀림없다]].,,
~をもとに(して),"~을 가지고, 토대로",어떤 것을 재료·근거로 삼아. 「に基づいて」와 유사.,,北欧の古い歌[[をもとに(して)]],북유럽의 오래된 노래를 [[바탕으로 해서]],,
